Date,2804- A/C Watts,2804- A/C Amps,2804- A/C kWh,2804- AHU Watts,2804- AHU Amps,2804- AHU kWh,2804- HRV Watts,2804- HRV Amps,2804- HRV kWh,2804-Tankless WaterHeater Watts,2804-Tankless WaterHeater Amps,2804-Tankless WaterHeater kWh,2804- Range (1) Watts,2804- Range (1) Amps,2804- Range (1) kWh,2804- Range (2) Watts,2804- Range (2) Amps,2804- Range (2) kWh,2804- Dryer (1) Watts,2804- Dryer (1) Amps,2804- Dryer (1) kWh,2804- Dryer (2) Watts,2804- Dryer (2) Amps,2804- Dryer (2) kWh,2804- KitchenCounterPlugs Watts,2804- KitchenCounterPlugs Amps,2804- KitchenCounterPlugs kWh,2804- Fridge Watts,2804- Fridge Amps,2804- Fridge kWh,2804- Living Room Plugs Watts,2804- Living Room Plugs Amps,2804- Living Room Plugs kWh,2804- Washing Machine Watts,2804- Washing Machine Amps,2804- Washing Machine kWh,2804- Dishwasher Watts,2804- Dishwasher Amps,2804- Dishwasher kWh,2804- Bedroom Plugs Watts,2804- Bedroom Plugs Amps,2804- Bedroom Plugs kWh,2804- Main Electricity 1 Watts,2804- Main Electricity 1 Amps,2804- Main Electricity 1 kWh,2804- Main Electricity 2 Watts,2804- Main Electricity 2 Amps,2804- Main Electricity 2 kWh,01021542 Voltage Avg Volts,2804- Cold Water  Avg C,2804- Hot Water Avg C,2804- Return Air Avg C,2804- Cold Water  Cubic Meter,2804- Hot Water  Cubic Meter,2804- Natural Gas Cubic Foot
2024-09-18 23:59:00,0,0.08,0.00000,298.57,4.106,0.00498,109.1,0.897,0.00182,0,0,0.00000,0,0.031,0.00000,0,0.12,0.00000,0,0.12,0.00000,266.13,4.618,0.00444,0,0,0.00000,87.63,0.723,0.00146,217.53,1.828,0.00363,79.07,1.365,0.00132,0,0.08,0.00000,21.78,0.383,0.00036,430.1,3.649,0.00717,705.02,8.551,0.01175,121.47500,16.50000,25.00000,23.50000,0.00000,0.00000,0.00000
2024-09-18 23:58:00,0,0.08,0.00000,297.67,4.078,0.00496,108.5,0.886,0.00181,0,0,0.00000,0,0.012,0.00000,0,0.12,0.00000,2087.15,18.011,0.03479,2339.13,20.965,0.03899,0,0,0.00000,87.65,0.728,0.00146,325.37,2.838,0.00542,89.6,1.448,0.00149,0,0.08,0.00000,21.67,0.38,0.00036,2592.93,22.237,0.04322,2764.42,24.746,0.04607,121.12500,16.50000,25.00000,23.50000,0.00000,0.00000,0.00000
2024-09-18 23:57:00,0,0.08,0.00000,297.78,4.085,0.00496,108.62,0.889,0.00181,0,0,0.00000,0,0.006,0.00000,0,0.12,0.00000,1267.23,11.146,0.02112,1525.5,14.706,0.02543,0,0,0.00000,87.98,0.737,0.00147,574.13,5.14,0.00957,85.77,1.44,0.00143,0,0.074,0.00000,21.8,0.388,0.00036,2035.05,17.612,0.03392,1958.45,18.694,0.03264,121.14200,16.50000,25.00000,23.50000,0.00000,0.00000,0.00000
2024-09-18 23:56:00,0,0.083,0.00000,298.37,4.097,0.00497,108.92,0.894,0.00182,0,0,0.00000,0,0.018,0.00000,0,0.123,0.00000,0,0.12,0.00000,267.02,4.618,0.00445,0,0,0.00000,88.33,0.735,0.00147,573.18,5.129,0.00955,87.75,1.382,0.00146,0,0.068,0.00000,21.48,0.382,0.00036,781.18,6.734,0.01302,714.08,8.662,0.01190,121.46700,16.50000,25.00000,23.50000,0.00000,0.00000,0.00000
2024-09-18 23:55:00,0,0.083,0.00000,298.45,4.069,0.00497,108.87,0.892,0.00181,0,0,0.00000,0,0.031,0.00000,0,0.123,0.00000,0,0.12,0.00000,269.25,4.635,0.00449,0,0,0.00000,88.22,0.735,0.00147,562.35,5.048,0.00937,86.62,1.198,0.00144,0,0.062,0.00000,21.97,0.389,0.00037,770.63,6.651,0.01284,715.38,8.469,0.01192,121.57500,16.50000,25.00000,23.50000,0.00000,0.00000,0.00000
2024-09-18 23:54:00,0,0.08,0.00000,298.13,4.074,0.00497,108.9,0.895,0.00182,0,0,0.00000,0,0.031,0.00000,0,0.122,0.00000,0,0.118,0.00000,266.6,4.625,0.00444,0,0,0.00000,88.35,0.734,0.00147,391.02,3.457,0.00652,69.15,1.185,0.00115,0,0.074,0.00000,21.47,0.383,0.00036,604.97,5.162,0.01008,695.97,8.425,0.01160,121.44200,16.88000,25.00000,23.50000,0.00000,1.00000,0.00000
2024-09-18 23:53:00,0,0.08,0.00000,298.75,4.129,0.00498,108.83,0.894,0.00181,0,0,0.00000,0,0.031,0.00000,0,0.12,0.00000,0,0.12,0.00000,268.1,4.617,0.00447,0,0,0.00000,88.4,0.735,0.00147,217.27,1.823,0.00362,101.38,1.597,0.00169,0,0.068,0.00000,21.62,0.392,0.00036,429.52,3.655,0.00716,730.52,8.775,0.01218,121.29200,17.00000,25.00000,23.50000,0.00000,0.00000,0.00000
2024-09-18 23:52:00,0,0.08,0.00000,297.55,4.169,0.00496,108.4,0.891,0.00181,0,0,0.00000,0,0.025,0.00000,0,0.12,0.00000,2069.07,17.991,0.03448,2321.38,20.955,0.03869,0,0,0.00000,88.65,0.74,0.00148,215.93,1.822,0.00360,338.72,4.163,0.00565,0,0.074,0.00000,22.1,0.392,0.00037,2476.1,21.295,0.04127,2999.22,27.131,0.04999,120.95800,17.00000,25.00000,23.50000,0.00000,0.00000,0.00000
2024-09-18 23:51:00,0,0.08,0.00000,297.75,4.085,0.00496,108.53,0.894,0.00181,0,0,0.00000,0,0.025,0.00000,0,0.12,0.00000,1270.72,11.131,0.02118,1531.47,14.706,0.02552,0,0,0.00000,88.97,0.745,0.00148,375.02,3.329,0.00625,203.18,2.718,0.00339,0,0.08,0.00000,21.7,0.392,0.00036,1842.03,15.937,0.03070,2076.58,19.966,0.03461,121.16700,17.00000,25.00000,23.50000,0.00000,0.00000,0.00000
2024-09-18 23:50:00,0,0.082,0.00000,297.78,4.088,0.00496,108.62,0.888,0.00181,0,0,0.00000,0,0.043,0.00000,0,0.122,0.00000,0,0.12,0.00000,270.47,4.617,0.00451,0,0,0.00000,89.35,0.748,0.00149,562.75,5.045,0.00938,95.57,1.388,0.00159,0,0.08,0.00000,21.65,0.386,0.00036,770.88,6.651,0.01285,721.97,8.498,0.01203,121.43300,16.63000,25.00000,23.50000,0.00000,0.00000,0.00000
