Unit#,Block,IPaddress,Port,Serial
2804,1,68.182.34.129,9007,01021542
2806,1,68.182.34.129,9007,01021522
2808,1,68.182.34.129,9008,01021520
2810,1,68.182.34.129,9008,01120982
2812,1,68.182.34.129,9011,01121001
2814,1,68.182.34.129,9009,01120966
2816,1,68.182.34.129,9010,01120969
2818,1,68.182.34.129,9010,01120965
77,3,68.182.34.229,9006,01021504
78,3,68.182.34.229,9001,01021510
79,3,68.182.34.229,9002,01021526
80,3,68.182.34.229,9002,01021531
81,3,68.182.34.229,9003,01021511
82,3,68.182.34.229,9003,01021525
83,3,68.182.34.229,9004,01021505
84,3,68.182.34.229,9004,01021529
85,3,68.182.34.229,9006,01021521
86,3,68.182.34.229,9005,01021506
